fund_code,year,stock_code,stock_name,hold_ratio,hold_value,stock_price,hold_shares,fund_name,manager,company
002580,2024,688095,福昕软件,,,44.0,2955.04,,,
002580,2024,688615,合合信息,,,14.5,2935.38,,,
002580,2024,688088,虹软科技,,,76.0,2930.56,,,
002580,2024,688608,恒玄科技,,,9.0,2928.33,,,
002580,2024,688515,裕太微,,,29.5,2920.5,,,
002580,2024,688486,龙迅股份,,,37.0,2887.48,,,
002580,2024,688279,峰岹科技,,,18.0,2838.6,,,
002580,2024,688582,芯动联科,,,56.0,2817.36,,,
002580,2024,688049,炬芯科技,,,52.0,2333.24,,,
002580,2024,688270,臻镭科技,,,65.0,2275.0,,,
017484,2024,301269,华大九天,,,26.88,3255.17,,,
017484,2024,002920,德赛西威,,,23.43,2579.88,,,
017484,2024,002475,立讯精密,,,56.36,2297.23,,,
017484,2024,002384,东山精密,,,77.01,2248.55,,,
017484,2024,300033,同花顺,,,6.78,1949.25,,,
017484,2024,002027,分众传媒,,,276.8,1945.9,,,
017484,2024,002415,海康威视,,,62.71,1925.2,,,
017484,2024,000100,TCL科技,,,356.38,1792.59,,,
017484,2024,300369,绿盟科技,,,239.59,1722.65,,,
017484,2024,688052,纳芯微,,,13.0,1693.9,,,
015456,2024,688608,恒玄科技,,,26.1,8492.29,,,
015456,2024,688332,中科蓝讯,,,61.92,8080.55,,,
015456,2024,688213,思特威,,,94.35,7332.98,,,
015456,2024,688286,敏芯股份,,,103.93,6261.81,,,
015456,2024,688601,力芯微,,,111.29,4610.54,,,
015456,2024,688458,美芯晟,,,130.53,4274.94,,,
015456,2024,603893,瑞芯微,,,33.88,3728.62,,,
015456,2024,688361,中科飞测,,,40.06,3507.45,,,
015456,2024,688595,芯海科技,,,106.59,3496.21,,,
015456,2024,688239,航宇科技,,,89.95,3355.27,,,
011036,2024,600111,北方稀土,,,5.66,116.77,,,
011036,2024,002340,格林美,,,7.87,56.11,,,
011036,2024,002202,金风科技,,,5.16,51.7,,,
011036,2024,002600,领益智造,,,6.31,47.39,,,
011036,2024,600010,包钢股份,,,24.7,42.74,,,
011036,2024,000831,中国稀土,,,1.44,40.77,,,
011036,2024,601600,中国铝业,,,4.49,39.96,,,
011036,2024,600549,厦门钨业,,,1.87,39.12,,,
011036,2024,600392,盛和资源,,,3.18,31.96,,,
011036,2024,002056,横店东磁,,,1.83,25.97,,,
016244,2024,09992,泡泡玛特,,,25.82,2143.56,,,
016244,2024,06181,老铺黄金,,,6.31,1409.41,,,
016244,2024,001308,康冠科技,,,46.67,1283.43,,,
016244,2024,300593,新雷能,,,102.0,1142.4,,,
016244,2024,300179,四方达,,,98.74,1110.83,,,
016244,2024,603275,众辰科技,,,32.36,1101.53,,,
016244,2024,00489,东风集团股份,,,312.0,1074.8,,,
016244,2024,688636,智明达,,,38.25,1074.73,,,
016244,2024,600415,小商品城,,,77.43,1038.34,,,
016244,2024,301071,力量钻石,,,28.01,1015.51,,,
014332,2024,600259,广晟有色,56.16,,,,,,
014332,2024,600549,厦门钨业,28.78,,,,,,
014332,2024,601908,京运通,4.38,,,,,,
014332,2024,601600,中国铝业,7.74,,,,,,
014332,2024,688077,大地熊,35.31,,,,,,
014332,2024,300811,铂科新材,76.45,,,,,,
014332,2024,600111,北方稀土,47.05,,,,,,
014332,2024,600980,北矿科技,23.56,,,,,,
014332,2024,600580,卧龙电驱,51.0,,,,,,
014332,2024,600392,盛和资源,22.57,,,,,,
005959,2024,300972,万辰集团,,,17.19,1382.25,,,
005959,2024,002463,沪电股份,,,34.48,1367.13,,,
005959,2024,002127,南极电商,,,310.37,1365.63,,,
005959,2024,300502,新易盛,,,10.64,1229.77,,,
005959,2024,603477,巨星农牧,,,68.58,1217.3,,,
005959,2024,300476,胜宏科技,,,28.68,1207.14,,,
005959,2024,688676,金盘科技,,,28.43,1177.66,,,
005959,2024,688372,伟测科技,,,14.24,833.47,,,
005959,2024,688362,甬矽电子,,,22.34,752.47,,,
005959,2024,301061,匠心家居,,,11.09,685.36,,,
015849,2024,688256,寒武纪,,,9.89,6505.98,,,
015849,2024,603986,兆易创新,,,54.35,5804.58,,,
015849,2024,688041,海光信息,,,24.48,3667.29,,,
015849,2024,00700,腾讯控股,,,8.88,3427.21,,,
015849,2024,601689,拓普集团,,,64.42,3156.8,,,
015849,2024,688361,中科飞测,,,33.1,2897.83,,,
015849,2024,688486,龙迅股份,,,35.91,2802.06,,,
015849,2024,00285,比亚迪电子,,,66.45,2587.56,,,
015849,2024,688279,峰岹科技,,,14.86,2343.72,,,
015849,2024,603893,瑞芯微,,,19.39,2134.06,,,
015271,2024,300972,万辰集团,,,20.39,1639.56,,,
015271,2024,002463,沪电股份,,,38.08,1509.87,,,
015271,2024,002127,南极电商,,,332.85,1464.54,,,
015271,2024,603477,巨星农牧,,,78.93,1401.01,,,
015271,2024,688676,金盘科技,,,33.67,1394.7,,,
015271,2024,300476,胜宏科技,,,33.04,1390.65,,,
015271,2024,300502,新易盛,,,10.84,1252.89,,,
015271,2024,688372,伟测科技,,,16.68,975.9,,,
015271,2024,688362,甬矽电子,,,24.55,826.96,,,
015271,2024,301061,匠心家居,,,13.34,824.41,,,
016234,2024,300972,万辰集团,,,29.89,2403.45,,,
016234,2024,002463,沪电股份,,,57.39,2275.51,,,
016234,2024,688676,金盘科技,,,52.38,2169.39,,,
016234,2024,002127,南极电商,,,490.74,2159.26,,,
016234,2024,603477,巨星农牧,,,114.24,2027.76,,,
016234,2024,300476,胜宏科技,,,47.4,1995.07,,,
016234,2024,300502,新易盛,,,16.49,1905.91,,,
016234,2024,688372,伟测科技,,,25.33,1482.1,,,
016234,2024,688362,甬矽电子,,,36.98,1245.32,,,
016234,2024,301061,匠心家居,,,19.35,1195.83,,,
010052,2024,688256,寒武纪,,,30.0,19740.0,,,
010052,2024,688631,莱斯信息,,,200.0,17418.0,,,
010052,2024,688522,纳睿雷达,,,300.0,16902.0,,,
010052,2024,688375,国博电子,,,300.0,14808.0,,,
010052,2024,301486,致尚科技,,,300.0,14355.04,,,
010052,2024,688326,经纬恒润,,,170.0,14297.0,,,
010052,2024,688498,源杰科技,,,100.0,13420.0,,,
010052,2024,603773,沃格光电,,,500.0,12650.0,,,
010052,2024,688691,灿芯股份,,,150.0,11550.0,,,
010052,2024,002281,光迅科技,,,200.0,10434.0,,,
005312,2024,688235,百济神州,,,50.0,8051.0,,,
005312,2024,300454,深信服,,,133.33,7653.22,,,
005312,2024,688256,寒武纪,,,10.0,6580.0,,,
005312,2024,600588,用友网络,,,600.0,6438.01,,,
005312,2024,002230,科大讯飞,,,130.0,6281.6,,,
005312,2024,688428,诺诚健华,,,500.0,6140.0,,,
005312,2024,688114,华大智造,,,130.0,6082.7,,,
005312,2024,603893,瑞芯微,,,50.0,5503.0,,,
005312,2024,300676,华大基因,,,130.01,5456.39,,,
005312,2024,688536,思瑞浦,,,50.0,4625.0,,,
014130,2024,002230,科大讯飞,,,266.47,12875.73,,,
014130,2024,688111,金山办公,,,33.32,9543.55,,,
014130,2024,000938,紫光股份,,,313.59,8727.09,,,
014130,2024,300502,新易盛,,,67.21,7767.81,,,
014130,2024,000977,浪潮信息,,,148.49,7703.82,,,
014130,2024,300308,中际旭创,,,62.32,7696.53,,,
014130,2024,603019,中科曙光,,,103.95,7517.9,,,
014130,2024,600570,恒生电子,,,218.32,6110.66,,,
014130,2024,300339,润和软件,,,114.77,5741.94,,,
014130,2024,300442,润泽科技,,,99.21,5154.95,,,
016971,2024,02269,药明生物,37.78,,,,,,
016971,2024,06160,百济神州,200.8,,,,,,
016971,2024,01801,信达生物,92.05,,,,,,
016971,2024,01093,石药集团,9.94,,,,,,
016971,2024,09926,康方生物,129.7,,,,,,
016971,2024,01177,中国生物制药,8.46,,,,,,
016971,2024,02367,巨子生物,64.0,,,,,,
016971,2024,03692,翰森制药,35.0,,,,,,
016971,2024,09688,再鼎医药,25.36,,,,,,
016971,2024,02359,药明康德,110.3,,,,,,
012322,2024,002230,科大讯飞,,,81.56,3940.94,,,
012322,2024,688111,金山办公,,,12.85,3680.17,,,
012322,2024,000977,浪潮信息,,,53.82,2792.37,,,
012322,2024,000938,紫光股份,,,97.41,2711.05,,,
012322,2024,300502,新易盛,,,23.33,2696.25,,,
012322,2024,603019,中科曙光,,,36.63,2648.75,,,
012322,2024,300308,中际旭创,,,18.4,2273.08,,,
012322,2024,600570,恒生电子,,,58.68,1642.4,,,
012322,2024,300002,神州泰岳,,,123.13,1427.08,,,
012322,2024,300442,润泽科技,,,27.26,1416.43,,,
017836,2024,600160,巨化股份,,,7.98,192.48,,,
017836,2024,603379,三美股份,,,5.0,191.9,,,
017836,2024,00189,东岳集团,,,22.28,167.53,,,
017836,2024,605020,永和股份,,,5.49,111.61,,,
017836,2024,688087,英科再生,,,3.33,101.08,,,
017836,2024,603822,嘉澳环保,,,1.65,80.45,,,
017836,2024,600378,昊华科技,,,2.41,69.67,,,
017836,2024,300980,祥源新材,,,3.02,69.16,,,
017836,2024,003001,中岩大地,,,1.35,62.1,,,
017836,2024,002096,易普力,,,5.14,61.06,,,
020398,2024,02162,康诺亚-B,,,30.97,886.1,,,
020398,2024,09926,康方生物,,,15.67,880.6,,,
020398,2024,00013,和黄医药,,,41.75,871.83,,,
020398,2024,01801,信达生物,,,25.72,871.73,,,
020398,2024,06160,百济神州,,,8.58,867.27,,,
020398,2024,09995,荣昌生物,,,64.7,862.77,,,
020398,2024,03692,翰森制药,,,53.46,855.52,,,
020398,2024,06990,科伦博泰生物-B,,,5.59,845.33,,,
020398,2024,01177,中国生物制药,,,150.96,447.34,,,
020398,2024,09969,诺诚健华,,,78.0,442.05,,,
005118,2024,301363,美好医疗,,,17.66,572.54,,,
005118,2024,688617,惠泰医疗,,,1.31,487.75,,,
005118,2024,688085,三友医疗,,,20.1,425.92,,,
005118,2024,688677,海泰新光,,,9.4,354.17,,,
005118,2024,301230,泓博医药,,,13.84,353.2,,,
005118,2024,301367,怡和嘉业,,,5.52,347.76,,,
005118,2024,688068,热景生物,,,5.4,333.94,,,
005118,2024,688271,联影医疗,,,2.6,329.13,,,
005118,2024,688356,键凯科技,,,5.76,328.01,,,
005118,2024,688389,普门科技,,,21.27,316.7,,,
015916,2024,01801,信达生物,,,45.7,1548.91,,,
015916,2024,06990,科伦博泰生物-B,,,10.07,1522.81,,,
015916,2024,688235,百济神州,,,9.41,1514.65,,,
015916,2024,09926,康方生物,,,26.93,1513.94,,,
015916,2024,002755,奥赛康,,,117.91,1498.64,,,
015916,2024,688506,百利天恒,,,7.38,1414.72,,,
015916,2024,688266,泽璟制药,,,22.59,1407.89,,,
015916,2024,688192,迪哲医药,,,33.0,1368.32,,,
015916,2024,06855,亚盛医药-B,,,21.28,895.64,,,
015916,2024,02268,药明合联,,,22.7,644.3,,,
