基金代码,年份,股票代码,股票名称,所属行业,概念主题,持仓占比,持股数,市值,报告日期
017484,2025,300059,东方财富,未知,未知,26.55,-1.19%,变动详情股吧行情,1
017484,2025,300548,长芯博创,未知,未知,128.00,0.17%,变动详情股吧行情,2
017484,2025,688787,海天瑞声,未知,未知,120.89,-2.40%,变动详情股吧行情,3
017484,2025,688502,茂莱光学,未知,未知,460.10,3.93%,变动详情股吧行情,4
017484,2025,300803,指南针,未知,未知,153.40,-3.51%,变动详情股吧行情,5
017484,2025,603918,金桥信息,未知,未知,18.05,-1.85%,变动详情股吧行情,6
017484,2025,300130,新国都,未知,未知,27.81,0.00%,变动详情股吧行情,7
017484,2025,688981,中芯国际,未知,未知,121.34,-0.66%,变动详情股吧行情,8
017484,2025,002837,英维克,未知,未知,74.44,-4.66%,变动详情股吧行情,9
017484,2025,300738,奥飞数据,未知,未知,22.26,-1.85%,变动详情股吧行情,10
017484,2025,688981,中芯国际,未知,未知,股吧行情,7.37%,95.63,1
017484,2025,300383,光环新网,未知,未知,股吧行情,5.39%,373.69,2
017484,2025,300738,奥飞数据,未知,未知,股吧行情,5.24%,250.47,3
017484,2025,603171,税友股份,未知,未知,股吧行情,4.94%,125.73,4
017484,2025,300442,润泽科技,未知,未知,股吧行情,4.93%,100.03,5
017484,2025,603887,城地香江,未知,未知,股吧行情,4.89%,304.56,6
017484,2025,002624,完美世界,未知,未知,股吧行情,4.75%,480.09,7
017484,2025,603039,泛微网络,未知,未知,股吧行情,4.70%,81.07,8
017484,2025,301269,华大九天,未知,未知,股吧行情,3.89%,39.06,9
017484,2025,688608,恒玄科技,未知,未知,股吧行情,3.55%,10.12,10
011036,2025,600111,北方稀土,未知,未知,47.05,-2.18%,变动详情股吧行情,1
011036,2025,600580,卧龙电驱,未知,未知,51.00,-10.01%,变动详情股吧行情,2
011036,2025,601600,中国铝业,未知,未知,7.74,1.31%,变动详情股吧行情,3
011036,2025,600549,厦门钨业,未知,未知,28.78,0.77%,变动详情股吧行情,4
011036,2025,600010,包钢股份,未知,未知,2.38,-1.24%,变动详情股吧行情,5
011036,2025,600392,盛和资源,未知,未知,22.57,2.68%,变动详情股吧行情,6
011036,2025,600416,湘电股份,未知,未知,15.02,0.00%,变动详情股吧行情,7
011036,2025,600206,有研新材,未知,未知,21.07,-0.28%,变动详情股吧行情,8
011036,2025,600478,科力远,未知,未知,6.47,0.47%,变动详情股吧行情,9
011036,2025,600259,广晟有色,未知,未知,56.16,-0.37%,变动详情股吧行情,10
015456,2025,688213,思特威,未知,未知,102.88,1.06%,变动详情股吧行情,1
015456,2025,688608,恒玄科技,未知,未知,252.95,-3.04%,变动详情股吧行情,2
015456,2025,688458,美芯晟,未知,未知,43.41,-1.45%,变动详情股吧行情,3
015456,2025,688286,敏芯股份,未知,未知,98.10,-1.11%,变动详情股吧行情,4
015456,2025,688332,中科蓝讯,未知,未知,116.52,-1.93%,变动详情股吧行情,5
015456,2025,688049,炬芯科技,未知,未知,54.96,-2.21%,变动详情股吧行情,6
015456,2025,688595,芯海科技,未知,未知,38.88,-0.28%,变动详情股吧行情,7
015456,2025,688601,力芯微,未知,未知,41.50,-1.64%,变动详情股吧行情,8
015456,2025,688239,航宇科技,未知,未知,40.67,3.38%,变动详情股吧行情,9
015456,2025,603893,瑞芯微,未知,未知,215.28,-3.68%,变动详情股吧行情,10
015456,2025,688608,恒玄科技,未知,未知,股吧行情,9.68%,23.50,1
015456,2025,688213,思特威,未知,未知,股吧行情,9.45%,96.00,2
015456,2025,688332,中科蓝讯,未知,未知,股吧行情,9.41%,68.30,3
015456,2025,688286,敏芯股份,未知,未知,股吧行情,8.34%,116.03,4
015456,2025,688458,美芯晟,未知,未知,股吧行情,6.36%,172.59,5
015456,2025,688595,芯海科技,未知,未知,股吧行情,4.71%,119.82,6
015456,2025,688601,力芯微,未知,未知,股吧行情,4.48%,110.00,7
015456,2025,688049,炬芯科技,未知,未知,股吧行情,4.21%,86.75,8
015456,2025,688239,航宇科技,未知,未知,股吧行情,3.81%,87.89,9
015456,2025,688361,中科飞测,未知,未知,股吧行情,3.33%,41.38,10
014332,2024,600259,广晟有色,未知,未知,56.16,-0.37%,变动详情股吧行情,1
014332,2024,600549,厦门钨业,未知,未知,28.78,0.77%,变动详情股吧行情,2
014332,2024,601908,京运通,未知,未知,4.38,-5.40%,变动详情股吧行情,3
014332,2024,601600,中国铝业,未知,未知,7.74,1.31%,变动详情股吧行情,4
014332,2024,688077,大地熊,未知,未知,35.31,-2.78%,变动详情股吧行情,5
014332,2024,300811,铂科新材,未知,未知,76.45,0.07%,变动详情股吧行情,6
014332,2024,600111,北方稀土,未知,未知,47.05,-2.18%,变动详情股吧行情,7
014332,2024,600980,北矿科技,未知,未知,23.56,-0.63%,变动详情股吧行情,8
014332,2024,600580,卧龙电驱,未知,未知,51.00,-10.01%,变动详情股吧行情,9
014332,2024,600392,盛和资源,未知,未知,22.57,2.68%,变动详情股吧行情,10
014332,2024,600259,广晟有色,未知,未知,股吧行情,0.04%,0.09,1
014332,2024,601908,京运通,未知,未知,股吧行情,0.03%,0.84,2
014332,2024,600549,厦门钨业,未知,未知,股吧行情,0.03%,0.12,3
014332,2024,601600,中国铝业,未知,未知,股吧行情,0.03%,0.27,4
014332,2024,688077,大地熊,未知,未知,股吧行情,0.03%,0.12,5
014332,2024,300811,铂科新材,未知,未知,股吧行情,0.03%,0.04,6
014332,2024,600980,北矿科技,未知,未知,股吧行情,0.02%,0.12,7
014332,2024,600111,北方稀土,未知,未知,股吧行情,0.02%,0.09,8
014332,2024,600580,卧龙电驱,未知,未知,股吧行情,0.02%,0.12,9
014332,2024,600392,盛和资源,未知,未知,股吧行情,0.02%,0.15,10
014332,2024,601908,京运通,未知,未知,股吧行情,0.04%,0.78,1
014332,2024,300811,铂科新材,未知,未知,股吧行情,0.02%,0.03,2
014332,2024,601600,中国铝业,未知,未知,股吧行情,0.02%,0.21,3
014332,2024,600549,厦门钨业,未知,未知,股吧行情,0.02%,0.06,4
014332,2024,600580,卧龙电驱,未知,未知,股吧行情,0.01%,0.06,5
014332,2024,600259,广晟有色,未知,未知,股吧行情,0.01%,0.03,6
014332,2024,600980,北矿科技,未知,未知,股吧行情,0.01%,0.06,7
014332,2024,600392,盛和资源,未知,未知,股吧行情,0.01%,0.09,8
014332,2024,600416,湘电股份,未知,未知,股吧行情,0.01%,0.06,9
014332,2024,600206,有研新材,未知,未知,股吧行情,0.01%,0.06,10
017836,2025,00189,东岳集团,未知,未知,12.00,0.08%,变动详情股吧行情,1
017836,2025,600160,巨化股份,未知,未知,36.62,-0.38%,变动详情股吧行情,2
017836,2025,603379,三美股份,未知,未知,56.19,0.97%,变动详情股吧行情,3
017836,2025,605020,永和股份,未知,未知,28.28,1.84%,变动详情股吧行情,4
017836,2025,603822,嘉澳环保,未知,未知,76.20,-0.77%,变动详情股吧行情,5
017836,2025,688386,泛亚微透,未知,未知,78.70,-1.28%,变动详情股吧行情,6
017836,2025,000831,中国稀土,未知,未知,51.28,-1.78%,变动详情股吧行情,7
017836,2025,600111,北方稀土,未知,未知,47.05,-2.18%,变动详情股吧行情,8
017836,2025,000803,山高环能,未知,未知,7.18,-0.55%,变动详情股吧行情,9
017836,2025,600378,昊华科技,未知,未知,29.55,1.30%,变动详情股吧行情,10
017836,2025,600160,巨化股份,未知,未知,股吧行情,9.77%,12.39,1
017836,2025,603379,三美股份,未知,未知,股吧行情,9.72%,7.54,2
017836,2025,605020,永和股份,未知,未知,股吧行情,9.61%,13.26,3
017836,2025,00189,东岳集团,未知,未知,股吧行情,9.49%,35.36,4
017836,2025,000803,山高环能,未知,未知,股吧行情,9.18%,53.28,5
017836,2025,002140,东华科技,未知,未知,股吧行情,5.07%,15.11,6
017836,2025,603067,振华股份,未知,未知,股吧行情,5.00%,8.94,7
017836,2025,002637,赞宇科技,未知,未知,股吧行情,4.99%,16.58,8
017836,2025,600111,北方稀土,未知,未知,股吧行情,4.95%,6.84,9
017836,2025,688776,国光电气,未知,未知,股吧行情,4.89%,1.80,10
